Name,Link,isDuplicate
Team Roster,https://www.nba.com/bulls/roster,false
Stats,https://www.nba.com/stats/team/1610612741/traditional/,false
Team Leaders,https://www.nba.com/bulls/leaders,false
Staff Directory,https://www.nba.com/bulls/chicago-bulls-staff-directory,false
Career Opportunities,https://www.nba.com/bulls/career-opportunities,false
Click Tix,https://am.ticketmaster.com/bulls/?wt.mc_id=NBA_TEAM_CHI_AM_PAGE&_ga=2.52805288.1618705923.1655777842-2053900119.1655777842,false
Schedule,https://www.nba.com/bulls/schedule,false
Season Tickets,https://www.nba.com/bulls/tickets/seasons,false
Single Tickets,https://www.nba.com/bulls/tickets/single,false
Group Tickets,https://www.nba.com/bulls/tickets/groups,false
Family Ticket Packs,https://www.nba.com/bulls/tickets/family-ticket-packs,false
Student Pass,https://www.nba.com/bulls/tickets/student-pass,false
Print Schedule,https://cdn.nba.com/teams/uploads/sites/1610612741/2023/11/Bulls_2324_Schedule_231129.pdf,false
Windy City Bulls,https://windycity.gleague.nba.com/tickets/,false
Jerseys,https://shop.bulls.com/collections/jerseys,false
Hats,https://shop.bulls.com/collections/hats,false
Men's,https://shop.bulls.com/collections/mens-apparel,false
Women's,https://shop.bulls.com/collections/womens-apparel,false
Kids,https://shop.bulls.com/collections/youth-shirts,false
Madhouse Team Store,http://www.madhouseteamstore.com/,false
Scoreboard Messages,https://www.nba.com/bulls/community/fan-experiences,false
50/50 Raffle,https://bullsraffle.com/,false
Athletico Rebound of the Game,https://www.nba.com/bulls/partners/athletico-rebound-of-the-game,false
Annual Report,https://chibullsdigital.com/community/docs/CR_Annual_Report22_WEB.pdf,false
Seating Charts,http://www.unitedcenter.com/venue/seating-charts/,false
Directions / Parking,https://www.nba.com/bulls/tickets/united-center-parking,false
Rideshare,http://www.unitedcenter.com/venue/rideshare/,false
Dining/Catering,http://www.unitedcenter.com/venue/dining/,false
Sam Smith,https://www.nba.com/bulls/sam-smith,false
Chuck Checks In,https://www.nba.com/bulls/chuck-checks-in,false
Partner News,https://www.nba.com/bulls/partner-news,false
Injury Report,https://www.nba.com/bulls/injury-report,false
Game Notes,https://www.nba.com/bulls/game-notes,false
